CensusSection;HouseholdIncome2016
2807911126;29422
2807911128;20067
2807911129;18418
2807911130;20923
2807911131;18955
2807911132;19639
2807911133;28381
2807911134;23883
2807911135;28132
2807911136;26289
2807911137;34687
2807911138;26072
2807911139;25198
2807911140;22461
2807911141;29017
2807911142;27552
2807911143;22099
2807911145;24743
2807911146;25464
2807911147;31879
2807911148;28529
2807911149;25515
2807911150;29253
2807911151;24409
2807911152;28646
2807911153;24759
2807911154;23849
2807911155;33110
2807911156;39716
2807911157;22690
2807911158;19514
2807911159;21608
2807911160;21584
2807911161;21153
2807911162;22821
2807911163;32278
2807911165;27610
2807911167;28714
2807911168;27035
2807911169;24511
2807911170;24181
2807911171;23602
2807911173;23200
2807911174;26883
2807911175;25092
2807911176;25821
2807911177;25445
2807911178;23365
2807911179;30318
2807911180;19928
2807911181;29504
2807911182;42061
2807911183;42380
2807911184;38025
2807911185;36222
2807911186;29854
2807911187;39622
2807911188;45215
2807911189;33280
2807911190;39603
2807911191;39721
2807911192;37975
2807911193;25438
2807911194;42883
2807912001;26726
2807912002;26916
2807912003;25840
2807912005;25719
2807912006;26281
2807912007;26371
2807912008;23719
2807912009;22960
2807912010;22545
2807912011;24539
2807912012;23807
2807912013;25698
2807912014;26938
2807912015;23156
2807912016;29260
2807912018;22205
2807912019;20271
2807912020;21530
2807912021;25047
2807912022;18958
2807912023;22337
2807912024;28770
2807912027;27826
2807912028;20803
2807912029;20733
2807912030;24223
2807912031;23647
2807912032;28159
2807912033;23910
2807912034;24604
2807912036;21194
2807912037;21141
2807912039;23532
2807912041;22019
2807912042;19634
2807912043;23405
2807912044;24068
2807912045;21256
2807912046;24442
2807912047;23199
2807912048;23444
2807912049;23506
2807912050;23440
2807912051;26398
2807912052;31841
2807912053;39058
2807912054;31959
2807912055;25986
2807912056;23295
2807912057;23576
2807912059;31743
2807912061;26904
2807912062;25359
2807912064;22049
2807912065;23967
2807912066;20408
2807912067;23145
2807912069;24027
2807912070;32809
2807912071;24596
2807912073;19024
2807912074;23808
2807912075;21893
2807912077;25621
2807912078;23383
2807912079;24210
2807912080;22835
2807912081;22556
2807912082;25640
2807912083;23837
2807912084;23144
2807912086;24843
2807912087;21916
2807912088;23376
2807912089;23955
2807912090;23629
2807912091;23001
2807912092;25199
2807912093;24530
2807912094;22211
2807912096;22245
2807912097;24685
2807912098;39578
2807912099;23726
2807912100;22262
2807912101;34914
2807912102;30089
2807912103;22122
2807912104;35216
2807912105;35479
2807912106;35078
2807912107;40460
2807912108;30566
2807912109;29179
2807913002;20376
2807913003;19657
2807913004;21513
2807913005;23545
2807913006;21373
2807913007;21746
2807913008;22535
2807913010;23175
2807913011;21658
2807913012;21495
2807913013;21339
2807913014;20960
2807913016;22093
2807913017;22222
2807913018;21297
2807913019;21861
2807913021;23193
2807913022;24205
2807913023;24007
2807913024;25465
2807913026;21871
2807913027;19211
2807913028;19411
2807913029;21700
2807913030;22813
2807913031;23129
2807913032;23547
2807913033;24048
2807913034;23197
2807913035;25256
2807913036;19344
2807913037;21873
2807913038;20442
2807913039;21004
2807913040;19891
2807913041;23020
2807913042;19284
2807913043;21110
2807913044;21703
2807913045;21090
2807913046;19661
2807913047;22033
2807913048;20418
2807913049;26703
2807913050;21342
2807913052;22437
2807913053;25384
2807913054;22518
2807913055;20705
2807913056;20924
2807913057;22271
2807913058;19776
2807913059;19916
2807913060;22117
2807913061;18662
2807913062;19908
2807913063;23002
2807913064;18321
2807913065;19155
2807913066;21141
2807913069;20017
2807913074;34599
2807913077;37298
2807913078;37672
2807913079;20396
2807913080;21399
2807913083;26473
2807913084;25095
2807913086;22040
2807913087;35176
2807913088;28562
2807913089;20274
2807913090;18576
2807913091;22093
2807913092;26264
2807913094;24723
2807913103;24496
2807913104;25180
2807913108;28712
2807913109;29632
2807913110;21728
2807913111;25724
2807913112;22765
2807913114;19082
2807913115;24365
2807913116;23797
2807913117;24106
2807913118;23040
2807913119;23965
2807913120;24195
2807913121;23718
2807913122;21251
2807913123;29637
2807913124;23609
2807913125;20574
2807913126;21036
2807913127;42036
2807913128;30314
2807913129;25164
2807913131;26297
2807913132;24054
2807913133;24410
2807913134;25770
2807913135;24769
2807913136;25465
2807913137;34161
2807913138;23000
2807913139;21585
2807913140;27590
2807913142;22788
